,주소,위도,경도
0,서울?강서구?양천로57길?37,37.5659531,126.8520999
1,서울?노원구?노원로?333,37.6215438,127.0872984
2,서울?강북구?한천로109길?57-12,37.6278414,127.0428363
3,서울?도봉구?도봉로173길?40-5,37.6789188,127.0395983
4,서울?관악구?대학12길?16 1층~2층,37.46669,126.936984
5,서울?동대문구?제기로23길?10,37.5883765,127.0424371
6,서울?강북구?솔샘로?277-1,37.6214025,127.0152535
7,서울?강북구?덕릉로36길?22-4,37.6339727,127.0283913
8,서울?강북구?인수봉로79길?62-4,37.6450978,127.0099411
9,서울?은평구?연서로33길?14-19,37.6222126,126.9245307
10,"서울 노원구 초안산로2길?94-14,1층2호",37.632585,127.058061
11,서울?강서구?허준로?209?가양7단지아파트,37.56243,126.8614
12,서울?성북구?안암로?79,37.5848978,127.0315165
13,서울?노원구?덕릉로126나길?14,37.6704811,127.0835546
14,서울?은평구?응암로21가길?5-1,37.595017,126.9168611
15,서울?강북구?삼양로98길?22,37.6387469,127.0187813
16,서울?강북구?노해로23길?58,37.6454832,127.0210525
17,서울?도봉구?도봉로150마길?37,37.6681251,127.0450621
18,서울?중랑구?겸재로?212-7,37.5861918,127.0774414
19,서울?노원구?한글비석로37길?22,37.6610137,127.0685835
20,서울?강북구?삼양로159길?9,37.6574095,127.0130415
21,서울?관악구?난곡로26다길?17,37.4694679,126.924367
22,서울?도봉구?도봉로150마길?37,37.6681251,127.0450621
23,서울?도봉구?시루봉로17길?66,37.6693699,127.0322719
24,서울?강서구?강서로74길?11,37.5664168,126.8446861
25,서울?강서구?곰달래로?83-1,37.5312794,126.8548343
26,서울?강동구?양재대로112길?52,37.5364933,127.1416805
27,nan,46.3144754,11.0480288
28,서울?은평구?진흥로1길?32-23,37.6046428,126.9179697
29,서울?중랑구?중랑천로20길?6-14?,37.59575245,127.0728073
30,서울?노원구?동일로242가길?26-23,37.6772303,127.0562358
31,서울 강북구 삼양로80나길 56,37.6327289,127.020142
32,서울 노원구 동일로184길 33,37.624011,127.0742541
33,서울 양천구 남부순환로63길 16-4,37.5289172,126.8349075
34,서울 강북구 솔매로43길 25,37.6280605,127.0235144
35,서울 구로구 오리로13가길 30,37.48963,126.8303
36,서울 성북구 한천로74길 1,37.6104377,127.0638452
37,서울특별시 은평구 불광로5길 6-12,37.6143549,126.9318103
38,서울 동작구 노량진로6길 50-14,37.5098187,126.9365337
39,서울 강북구 솔매로22길 11,37.6239254,127.0156954
40,서울 강북구 오패산로 156-3,37.6364286,127.0266341
41,서울 강서구 금낭화로24가길 40,37.578912,126.8153009
42,서울 금천구 은행나무로10길 12-1,37.4496111,126.9070276
43,서울 중랑구 용마산로94길 98,37.5899297,127.099328
44,서울 구로구 구로동로8길 27,37.4891959,126.8877638
45,서울 강북구 덕릉로41길 92,37.637012,127.0296984
46,서울 은평구 연서로13길 29-7,37.6098029,126.9127436
47,서울 동대문구 전농로31길 33,37.5830882,127.0524859
48,강서구 곰달래로 97 BS타운,37.53061,126.8436
49,서울 강동구 올림픽로89길 27-23,37.5470468,127.1242803
50,서울 구로구 우마1다길 25,37.4829694,126.8895727
51,서울 강동구 천중로40길 66,37.5392477,127.1382699
52,서울 노원구 광운로19가길 53,37.6247424,127.0592915
53,서울 은평구 통일로89길 12-6,37.6250258,126.9188736
54,노원구 수락산로 214,37.6673213,127.0709473
55,동작구 상도로 11길 7,37.50053,126.9291
56,강북구 삼양로 80나길 56,37.63337,127.0207
57,서울 노원구 동일로179길 22,37.6225567,127.0719916
58,서울 양천구 남부순환로63길 16-4,37.5289172,126.8349075
59,서울 강북구 오패산로 156-3,37.6364286,127.0266341
60,서울 동작구 상도로52길 27,37.4978486,126.9512556
61,서울 구로구 오류로8라길 3,37.4914021,126.8436827
62,서울 중랑구 면목로40길 23,37.5790001,127.0898737
63,서울 성북구 보국문로17길 18-6,37.6112022,127.008423
64,서울 동작구 노량진로6길 50-14,37.5098187,126.9365337
65,서울 강북구 인수봉로 42,37.6335413,127.0140166
66,서울 강북구 솔샘로 277-1,37.6214025,127.0152535
67,도봉구 도당로 2길 12-13,37.65911,127.0361
