,자치구,평균소득
0,강서구,272311.0400000001
1,성북구,209717.18000000008
2,중랑구,63110.740000000005
3,강북구,49728.38999999999
4,마포구,211615.44000000003
5,강남구,244532.8
6,은평구,63614.450000000004
7,양천구,92062.46
8,동작구,94619.25
9,서대문구,113065.28000000001
10,금천구,42105.15999999999
11,구로구,73396.59000000001
12,관악구,90201.46000000002
13,종로구,453466.1099999998
14,영등포구,205228.58999999994
15,서초구,188960.04000000004
16,성동구,121312.97999999997
17,강동구,105784.96999999999
18,노원구,86224.23999999999
19,용산구,202064.0
20,광진구,74707.81000000001
21,동대문구,63447.22
22,중구,424956.0300000002
23,송파구,186208.96999999997
24,도봉구,59548.73999999999
