자치구,행정동,기초생활수급자인원,노년부양비,고령자수,노령화지수,무료급식소개수,점수,순위
광진구,중곡4동,1534.0,25.7,5411.0,278.8,0.0,1.1639738231731316,1
중구,약수동,944.0,35.7,3980.0,284.4,0.0,1.105766295214209,2
중구,을지로동,148.0,34.1,454.0,659.2,0.0,0.95173236741287,3
종로구,창신1동,501.0,29.8,1176.0,555.1,0.0,0.8036312071311529,4
광진구,자양4동,1001.0,23.9,3749.0,340.0,0.0,0.6992621814099362,5
중구,회현동,463.0,37.4,1250.0,367.5,0.0,0.6972184013197231,6
종로구,창신2동,491.0,28.1,1809.0,487.6,0.0,0.6693361281113047,7
용산구,보광동,1086.0,25.1,2643.0,351.5,0.0,0.6380737694367338,8
중구,청구동,769.0,29.7,2840.0,275.0,0.0,0.5452785340515913,9
광진구,중곡3동,1204.0,24.2,2937.0,275.3,0.0,0.5242702658096563,10
용산구,청파동,1136.0,20.7,3206.0,327.7,0.0,0.5028415783186007,11
광진구,구의2동,1132.0,23.2,4502.0,174.7,0.0,0.4675811861767979,12
광진구,자양1동,1294.0,20.8,3621.0,249.3,0.0,0.4674399758323956,13
성동구,용답동,918.0,22.6,2176.0,389.4,0.0,0.4584049079382285,14
중구,다산동,507.0,27.4,2807.0,335.2,0.0,0.4533624511855271,15
성동구,성수2가1동,818.0,25.4,2934.0,278.2,0.0,0.4000052947569694,16
용산구,용산2가동,605.0,26.5,2014.0,358.8,0.0,0.3846571947586583,17
광진구,자양2동,883.0,23.6,4196.0,189.3,0.0,0.3504836201915349,18
종로구,종로1.2.3.4가동,786.0,27.7,1706.0,297.8,0.0,0.3309232600197664,19
성동구,금호2.3가동,769.0,24.6,3980.0,178.7,0.0,0.280315317937641,20
용산구,후암동,907.0,24.2,2972.0,221.3,0.0,0.2620344982150532,21
성동구,행당2동,861.0,24.1,4003.0,157.8,0.0,0.2567631778716166,22
광진구,중곡1동,989.0,21.8,2619.0,272.3,0.0,0.2554454648205333,23
용산구,남영동,1375.0,27.4,1544.0,553.9,3.0,0.2465389678829491,24
종로구,숭인2동,475.0,20.5,1709.0,455.8,0.0,0.2321618277877048,25
광진구,중곡2동,935.0,20.9,3410.0,215.1,0.0,0.1859441261153057,26
종로구,종로5.6가동,319.0,23.7,1058.0,435.9,0.0,0.1466070834350662,27
용산구,이촌2동,174.0,32.1,1786.0,251.3,0.0,0.139530618135734,28
중구,명동,93.0,29.2,733.0,389.0,0.0,0.1206391774356407,29
성동구,송정동,736.0,23.4,1840.0,285.1,0.0,0.1078187396093942,30
성동구,금호1가동,772.0,25.8,2745.0,160.3,0.0,0.0888042983687359,31
종로구,평창동,144.0,27.8,3474.0,192.8,0.0,0.0746196760837642,32
종로구,삼청동,45.0,35.1,596.0,266.4,0.0,0.0511171188688868,33
광진구,구의1동,976.0,17.4,3312.0,221.5,0.0,0.0483814382749628,34
용산구,한남동,595.0,22.5,3587.0,181.8,0.0,0.0463351723742242,35
종로구,숭인1동,296.0,27.2,1206.0,316.4,0.0,0.0362447758114769,36
성동구,왕십리도선동,921.0,19.9,3952.0,132.4,0.0,0.0303704983114273,37
중구,광희동,232.0,21.2,1090.0,447.8,0.0,0.0268561894081497,38
종로구,이화동,288.0,23.0,1352.0,381.5,0.0,0.0217064096021567,39
중구,신당동,440.0,21.2,1486.0,370.9,0.0,0.0112195423898351,40
광진구,구의3동,553.0,20.6,4368.0,156.2,0.0,0.0103176663034069,41
용산구,용문동,441.0,25.5,2167.0,222.1,0.0,-0.0328796809414664,42
중구,신당5동,511.0,23.8,1860.0,248.7,0.0,-0.0635393324041585,43
용산구,이촌1동,68.0,24.6,4262.0,111.2,0.0,-0.1654634617565793,44
중구,동화동,217.0,27.0,1949.0,196.3,0.0,-0.169121073476531,45
중구,필동,103.0,24.1,876.0,349.8,0.0,-0.1700546968403573,46
성동구,금호4가동,442.0,25.2,2505.0,144.4,0.0,-0.1719955623345178,47
광진구,화양동,730.0,9.8,2332.0,390.7,0.0,-0.1728477308913908,48
종로구,부암동,174.0,26.2,1808.0,225.6,0.0,-0.1799001208953484,49
광진구,군자동,921.0,18.6,3159.0,247.9,1.0,-0.1959729341260651,50
종로구,사직동,125.0,27.1,1787.0,208.3,0.0,-0.2071113070194271,51
종로구,가회동,77.0,29.2,837.0,244.2,0.0,-0.2088064789474768,52
용산구,원효로2동,457.0,22.9,2328.0,179.6,0.0,-0.2140773194653643,53
용산구,이태원2동,276.0,24.0,1809.0,228.6,0.0,-0.2221125482600829,54
성동구,왕십리2동,549.0,21.5,2648.0,159.6,0.0,-0.2267247010731754,55
종로구,창신3동,247.0,26.0,1250.0,230.8,0.0,-0.2337106658716899,56
성동구,성수2가3동,250.0,23.2,1827.0,241.1,0.0,-0.2379320940760408,57
성동구,옥수동,532.0,23.6,4294.0,132.1,1.0,-0.2428221229757125,58
종로구,청운효자동,229.0,25.6,2137.0,173.7,0.0,-0.2477289378677942,59
중구,황학동,536.0,20.0,2035.0,212.8,0.0,-0.2761623767251105,60
종로구,혜화동,380.0,17.2,2675.0,242.9,0.0,-0.2994689032053923,61
용산구,이태원1동,254.0,22.1,1292.0,268.7,0.0,-0.3085220420682613,62
광진구,자양3동,381.0,22.4,4467.0,136.8,1.0,-0.3287974006213269,63
성동구,응봉동,230.0,23.6,2536.0,138.8,0.0,-0.3523665993162931,64
용산구,한강로동,410.0,18.4,3131.0,156.0,0.0,-0.3600271706264434,65
성동구,성수1가1동,515.0,19.1,2392.0,171.1,0.0,-0.3651067044412274,66
성동구,행당1동,423.0,21.0,2190.0,159.7,0.0,-0.3842510615141914,67
종로구,무악동,206.0,26.7,1476.0,141.0,0.0,-0.3950557138735552,68
중구,장충동,157.0,20.7,855.0,304.9,0.0,-0.4043662715718757,69
성동구,성수1가2동,268.0,21.1,1962.0,190.1,0.0,-0.4200741953009673,70
용산구,서빙고동,326.0,21.9,2112.0,141.2,0.0,-0.4465406541705744,71
광진구,능동,383.0,18.4,1668.0,212.4,0.0,-0.4817630152808317,72
성동구,마장동,838.0,23.9,4030.0,227.8,3.0,-0.5194380176638786,73
종로구,교남동,215.0,23.1,1648.0,140.2,0.0,-0.5247287308710737,74
광진구,광장동,271.0,16.1,3986.0,72.4,0.0,-0.5836934930622375,75
성동구,사근동,258.0,12.7,1516.0,264.5,0.0,-0.698415477775366,76
중구,중림동,622.0,25.1,2187.0,162.1,2.0,-0.717976477970812,77
용산구,효창동,132.0,19.4,1576.0,135.5,0.0,-0.752022902781101,78
용산구,원효로1동,388.0,14.9,2049.0,116.6,0.0,-0.7968470498071127,79
중구,소공동,49.0,11.3,258.0,73.1,0.0,-1.5155891994216455,80
