,자치구,행정동,기초생활수급자인원,노년부양비,고령자수,노령화지수,무료급식소개수,점수,순위
0,강남구,수서동,3377,56.9,4930,623.9,2,2.8939400968432647,1
1,송파구,방이1동,328,20.4,2324,137.0,0,1.3073125905631724,2
2,송파구,마천2동,1509,32.8,4190,359.3,0,1.1888565682839367,3
3,송파구,송파1동,581,19.3,3616,229.1,0,0.9560956465939241,4
4,강남구,세곡동,2342,22.8,6899,111.3,1,0.610606771615773,5
5,송파구,풍납2동,569,22.8,4027,149.4,0,0.6021220207065058,6
6,강남구,일원1동,1696,32.3,3376,304.8,2,0.48086438197869,7
7,강남구,압구정동,152,30.5,5280,162.0,0,0.4642302900189622,8
8,송파구,거여2동,803,25.7,4278,154.7,0,0.41642712574334506,9
9,송파구,삼전동,1196,17.6,4153,193.3,1,0.3884095532845663,10
10,송파구,위례동,1090,20.8,2974,75.1,0,0.38784239533209486,11
11,송파구,잠실6동,34,16.1,3917,59.4,0,0.3504843941720426,12
12,송파구,잠실2동,33,21.7,4616,144.2,0,0.30700214098367884,13
13,송파구,마천1동,1639,33.7,4317,292.1,0,0.301984820534413,14
14,강남구,개포1동,162,37.6,1676,215.0,0,0.2808088347448643,15
15,서초구,내곡동,815,30.0,3440,135.8,0,0.25228281338576064,16
16,송파구,오륜동,9,24.9,3065,127.7,0,0.2221579719712267,17
17,서초구,서초3동,359,20.4,5002,177.9,0,0.2025693833743415,18
18,서초구,양재1동,2293,24.3,7254,130.7,3,0.1911947523570371,19
19,송파구,송파2동,359,22.2,3018,133.9,0,0.15980780118551766,20
20,송파구,가락1동,112,19.8,3814,85.6,1,0.14666632589930412,21
21,강남구,신사동,246,27.4,3071,194.3,0,0.13864809553698665,22
22,송파구,잠실4동,31,35.7,2235,240.3,0,0.10022105846604697,23
23,송파구,거여1동,560,28.2,2497,281.8,0,0.0940401266265017,24
24,서초구,방배3동,137,27.4,3301,167.4,0,0.06622682733256664,25
25,강남구,논현2동,489,19.8,3186,209.2,0,0.024373553396001085,26
26,서초구,방배1동,320,24.5,2990,182.3,0,0.01763361260210243,27
27,서초구,방배2동,493,26.8,3549,202.6,1,0.00014578769766451782,28
28,송파구,잠실3동,54,11.7,3583,34.9,0,-0.0027396625306913697,29
29,강남구,도곡2동,82,22.5,5119,103.2,0,-0.007825386279053562,30
30,강남구,논현1동,868,16.5,2974,304.8,1,-0.013188287304600282,31
31,송파구,잠실본동,949,26.1,3008,137.3,0,-0.024134384184977736,32
32,강남구,대치2동,141,20.0,5334,106.4,0,-0.027986784851613183,33
33,송파구,문정1동,402,21.6,3198,173.9,0,-0.03068717439567409,34
34,송파구,가락본동,739,20.4,3991,179.5,0,-0.04015735815179214,35
35,송파구,문정2동,96,18.6,4170,187.9,0,-0.0449420607316104,36
36,강남구,개포4동,713,20.0,3482,130.7,0,-0.0988384584899755,37
37,서초구,양재2동,678,18.4,3077,163.4,0,-0.12472040443038179,38
38,강남구,역삼1동,1075,12.2,3673,251.2,1,-0.14503585515412448,39
39,서초구,방배4동,335,21.1,3600,129.9,0,-0.14617986553740903,40
40,강남구,청담동,243,20.4,3814,128.7,0,-0.16204681532597962,41
41,송파구,석촌동,995,18.9,4663,218.5,0,-0.18506711689727598,42
42,송파구,풍납1동,522,30.9,2802,302.6,0,-0.19818939593074952,43
43,송파구,오금동,1605,24.9,6807,178.7,0,-0.2019034640820143,44
44,서초구,방배본동,361,21.5,3195,119.6,0,-0.22145484457446,45
45,강남구,개포3동,692,21.0,3559,179.7,1,-0.22174943240068515,46
46,서초구,서초4동,70,20.4,4346,90.0,0,-0.23871282165191762,47
47,강남구,삼성2동,466,16.9,3903,98.8,0,-0.28990916911017206,48
48,서초구,반포1동,458,16.6,4133,77.8,0,-0.3279111713757835,49
49,서초구,반포4동,117,21.9,2996,108.7,0,-0.33625134899914766,50
50,강남구,일원본동,125,21.1,3382,93.2,0,-0.34484343897587577,51
51,송파구,방이2동,905,17.1,3626,244.5,0,-0.35025755177666495,52
52,강남구,도곡1동,157,20.4,3117,108.7,0,-0.35414971383825367,53
53,서초구,반포3동,41,20.3,3268,96.5,0,-0.40010327368611276,54
54,서초구,잠원동,254,17.4,3397,98.0,0,-0.4114928243136843,55
55,서초구,서초2동,157,17.1,3396,94.6,0,-0.4565197277748918,56
56,서초구,서초1동,356,20.5,3140,144.9,1,-0.4714695139797278,57
57,강남구,삼성1동,168,24.0,2208,171.6,1,-0.47708475505120884,58
58,강남구,대치4동,657,13.1,2082,140.6,0,-0.5227721785917098,59
59,송파구,잠실7동,11,26.2,6070,125.4,0,-0.5430571614449257,60
60,강남구,개포2동,174,18.8,3916,92.9,1,-0.6054229198788104,61
61,송파구,가락2동,576,19.4,4506,117.7,0,-0.627856088440014,62
62,서초구,반포2동,7,20.1,2103,66.8,0,-0.6878253166786236,63
63,강남구,역삼2동,570,14.0,3899,71.3,1,-0.7212913554336083,64
64,강남구,대치1동,17,15.9,2684,63.9,0,-0.7349190690131057,65
65,송파구,장지동,1680,17.3,3896,216.1,0,-0.8027803516733679,66
66,서초구,반포본동,10,20.1,41,87.2,0,-0.9514792382896279,67
