,행정동,기초생활수급자인원,노년부양비,독거노인수,고령내국인전체,노령화지수
0,사직동,125.0,27.1,66.0,1787.0,208.3
1,삼청동,45.0,35.1,23.0,596.0,266.4
2,부암동,174.0,26.2,74.0,1808.0,225.6
3,평창동,144.0,27.8,78.0,3474.0,192.8
4,무악동,206.0,26.7,108.0,1476.0,141.0
5,교남동,215.0,23.1,73.0,1648.0,140.2
6,가회동,77.0,29.2,27.0,837.0,244.2
7,종로1.2.3.4가동,786.0,27.7,423.0,1706.0,297.8
8,종로5.6가동,319.0,23.7,156.0,1058.0,435.9
9,이화동,288.0,23.0,140.0,1352.0,381.5
10,창신1동,501.0,29.8,216.0,1176.0,555.1
11,창신2동,491.0,28.1,243.0,1809.0,487.6
12,창신3동,247.0,26.0,84.0,1250.0,230.8
13,숭인1동,296.0,27.2,141.0,1206.0,316.4
14,숭인2동,475.0,20.5,255.0,1709.0,455.8
15,청운효자동,229.0,25.6,95.0,2137.0,173.7
16,혜화동,380.0,17.2,147.0,2675.0,242.9
17,소공동,49.0,11.3,17.0,258.0,73.1
18,회현동,463.0,37.4,221.0,1250.0,367.5
19,명동,93.0,29.2,32.0,733.0,389.0
20,필동,103.0,24.1,61.0,876.0,349.8
21,장충동,157.0,20.7,63.0,855.0,304.9
22,광희동,232.0,21.2,123.0,1090.0,447.8
23,을지로동,148.0,34.1,98.0,454.0,659.2
24,신당5동,511.0,23.8,232.0,1860.0,248.7
25,황학동,536.0,20.0,234.0,2035.0,212.8
26,중림동,622.0,25.1,254.0,2187.0,162.1
27,신당동,440.0,21.2,215.0,1486.0,370.9
28,다산동,507.0,27.4,233.0,2807.0,335.2
29,약수동,944.0,35.7,528.0,3980.0,284.4
30,청구동,769.0,29.7,365.0,2840.0,275.0
31,동화동,217.0,27.0,82.0,1949.0,196.3
32,후암동,907.0,24.2,300.0,2972.0,221.3
33,용산2가동,605.0,26.5,187.0,2014.0,358.8
34,남영동,1375.0,27.4,523.0,1544.0,553.9
35,원효로2동,457.0,22.9,191.0,2328.0,179.6
36,효창동,132.0,19.4,58.0,1576.0,135.5
37,용문동,441.0,25.5,200.0,2167.0,222.1
38,이촌1동,68.0,24.6,28.0,4262.0,111.2
39,이촌2동,174.0,32.1,74.0,1786.0,251.3
40,이태원1동,254.0,22.1,81.0,1292.0,268.7
41,이태원2동,276.0,24.0,104.0,1809.0,228.6
42,서빙고동,326.0,21.9,111.0,2112.0,141.2
43,보광동,1086.0,25.1,349.0,2643.0,351.5
44,청파동,1136.0,20.7,368.0,3206.0,327.7
45,원효로1동,388.0,14.9,150.0,2049.0,116.6
46,한강로동,410.0,18.4,185.0,3131.0,156.0
47,한남동,595.0,22.5,252.0,3587.0,181.8
48,왕십리2동,549.0,21.5,216.0,2648.0,159.6
49,마장동,838.0,23.9,304.0,4030.0,227.8
50,사근동,258.0,12.7,90.0,1516.0,264.5
51,행당1동,423.0,21.0,144.0,2190.0,159.7
52,행당2동,861.0,24.1,373.0,4003.0,157.8
53,응봉동,230.0,23.6,89.0,2536.0,138.8
54,금호1가동,772.0,25.8,329.0,2745.0,160.3
55,금호4가동,442.0,25.2,204.0,2505.0,144.4
56,성수1가1동,515.0,19.1,159.0,2392.0,171.1
57,성수1가2동,268.0,21.1,85.0,1962.0,190.1
58,성수2가1동,818.0,25.4,285.0,2934.0,278.2
59,성수2가3동,250.0,23.2,76.0,1827.0,241.1
60,송정동,736.0,23.4,228.0,1840.0,285.1
61,용답동,918.0,22.6,300.0,2176.0,389.4
62,왕십리도선동,921.0,19.9,398.0,3952.0,132.4
63,금호2.3가동,769.0,24.6,267.0,3980.0,178.7
64,옥수동,532.0,23.6,210.0,4294.0,132.1
65,화양동,730.0,9.8,179.0,2332.0,390.7
66,군자동,921.0,18.6,316.0,3159.0,247.9
67,중곡1동,989.0,21.8,306.0,2619.0,272.3
68,중곡2동,935.0,20.9,320.0,3410.0,215.1
69,중곡3동,1204.0,24.2,388.0,2937.0,275.3
70,중곡4동,1534.0,25.7,567.0,5411.0,278.8
71,능동,383.0,18.4,120.0,1668.0,212.4
72,구의1동,976.0,17.4,300.0,3312.0,221.5
73,구의2동,1132.0,23.2,398.0,4502.0,174.7
74,구의3동,553.0,20.6,180.0,4368.0,156.2
75,광장동,271.0,16.1,94.0,3986.0,72.4
76,자양1동,1294.0,20.8,449.0,3621.0,249.3
77,자양2동,883.0,23.6,291.0,4196.0,189.3
78,자양3동,381.0,22.4,149.0,4467.0,136.8
79,자양4동,1001.0,23.9,434.0,3749.0,340.0
